m,trapezoidal,trapezoidal error,trapezoidal % error,trapezoidal runtime (ns),simpsons,simpsons error,simpsons % error,Simpson runtime (ns),gauss-legendre,gauss-legendre error,gauss % error,gauss runtime ns
2,4.087697E+00,1.737295E+00,7.39E+01,,3.581148E+00,1.230746E+00,5.24E+01,212.75,2.568050833,0.2176484461,9.26E+00,424.031
4,3.744361E+00,1.393959E+00,5.93E+01,,3.629916E+00,1.279514E+00,5.44E+01,307.906,3.674537423,1.324135035,5.63E+01,1.96E+03
8,3.626112E+00,1.275709E+00,5.43E+01,,3.586695E+00,1.236293E+00,5.26E+01,607.268,3.627883002,1.277480615,5.44E+01,1.40E+03
16,3.612039E+00,1.261636E+00,5.37E+01,,3.607348E+00,1.256945E+00,5.35E+01,1282.924,3.587634144,1.237231756,5.26E+01,3.33E+03
32,3.608517E+00,1.258115E+00,5.35E+01,,3.607343E+00,1.256941E+00,5.35E+01,2475.111,3.631693351,1.281290964,5.45E+01,3.93E+03
