0.000270,0.000189,0.000356,0.000458,0.000390,0.000499,0.000764,0.000749,0.001055,0.001185,0.001373,0.001773,0.002004,0.002376,0.002746,0.003238,0.003639,0.004210,0.004888,0.005337,0.006030,0.006591,0.007312,0.007807,0.008578,0.009046,0.009529,0.009966,0.010387,0.010780,0.010981,0.011224,0.011193,0.011108,0.011037,0.010817,0.010386,0.009985,0.009489,0.009102,0.008517,0.007875,0.007326,0.006687,0.006016,0.005459,0.004735,0.004155,0.003660,0.003131,0.002781,0.002460,0.001923,0.001624,0.001414,0.001273,0.000947,0.000814,0.000578,0.000481,0.000552,0.000469,0.000214,0.000353
0.000291,0.000388,0.000372,0.000467,0.000565,0.000728,0.000779,0.000946,0.001227,0.001574,0.001787,0.002244,0.002720,0.003017,0.003662,0.004203,0.004930,0.005486,0.006329,0.007138,0.007969,0.008745,0.009540,0.010386,0.011232,0.011926,0.012512,0.013312,0.013793,0.014217,0.014438,0.014717,0.014728,0.014716,0.014416,0.014213,0.013855,0.013135,0.012701,0.011893,0.011232,0.010419,0.009553,0.008756,0.007956,0.007052,0.006256,0.005584,0.004918,0.004266,0.003687,0.003085,0.002689,0.002134,0.001855,0.001434,0.001230,0.001013,0.000830,0.000734,0.000545,0.000453,0.000328,0.000289
0.000258,0.000295,0.000488,0.000609,0.000735,0.000871,0.001058,0.001401,0.001628,0.001969,0.002288,0.002826,0.003379,0.004000,0.004728,0.005486,0.006340,0.007279,0.008257,0.009258,0.010363,0.011258,0.012381,0.013419,0.014587,0.015622,0.016400,0.017346,0.017865,0.018598,0.018890,0.019090,0.019251,0.019121,0.018877,0.018472,0.018014,0.017268,0.016413,0.015565,0.014601,0.013472,0.012425,0.011279,0.010209,0.009250,0.008131,0.007231,0.006360,0.005400,0.004725,0.003971,0.003495,0.002855,0.002444,0.001984,0.001533,0.001355,0.001172,0.000898,0.000775,0.000652,0.000413,0.000323
0.000398,0.000446,0.000643,0.000796,0.000862,0.001056,0.001429,0.001647,0.002139,0.002513,0.003092,0.003593,0.004405,0.005170,0.006094,0.007005,0.008206,0.009407,0.010533,0.011831,0.013188,0.014714,0.016117,0.017498,0.018784,0.020092,0.021309,0.022339,0.023335,0.023887,0.024529,0.024795,0.024908,0.024857,0.024529,0.024058,0.023163,0.022261,0.021335,0.020130,0.018792,0.017404,0.016013,0.014764,0.013222,0.011876,0.010535,0.009306,0.008073,0.007075,0.005991,0.005240,0.004327,0.003682,0.003135,0.002558,0.002081,0.001657,0.001339,0.001142,0.000991,0.000749,0.000587,0.000510
0.000447,0.000479,0.000723,0.000983,0.001052,0.001433,0.001675,0.002153,0.002556,0.003209,0.003952,0.004661,0.005631,0.006685,0.007864,0.009002,0.010433,0.011894,0.013675,0.015359,0.017044,0.018906,0.020653,0.022463,0.024089,0.025862,0.027248,0.028736,0.029880,0.030794,0.031340,0.031809,0.031941,0.031821,0.031351,0.030839,0.029834,0.028632,0.027302,0.025800,0.024191,0.022441,0.020732,0.018837,0.017134,0.015344,0.013518,0.012050,0.010376,0.009119,0.007755,0.006702,0.005672,0.004753,0.003959,0.003180,0.002553,0.002126,0.001670,0.001434,0.001086,0.000987,0.000739,0.000632
0.000478,0.000767,0.000962,0.001106,0.001416,0.001802,0.002117,0.002705,0.003310,0.004001,0.004914,0.005861,0.007007,0.008338,0.009970,0.011513,0.013376,0.015194,0.017223,0.019424,0.021654,0.023881,0.026295,0.028489,0.030776,0.032871,0.034696,0.036395,0.038006,0.039125,0.039911,0.040628,0.040619,0.040568,0.040096,0.039080,0.037879,0.036407,0.034726,0.032761,0.030790,0.028458,0.026269,0.024059,0.021729,0.019446,0.017222,0.015232,0.013289,0.011489,0.009804,0.008488,0.007092,0.005886,0.004914,0.004055,0.003396,0.002752,0.002236,0.001652,0.001378,0.001104,0.000782,0.000647
0.000721,0.000779,0.001089,0.001316,0.001637,0.002130,0.002823,0.003448,0.004270,0.005111,0.006132,0.007490,0.008929,0.010659,0.012362,0.014492,0.016671,0.019134,0.021809,0.024485,0.027298,0.030197,0.033121,0.036063,0.038869,0.041518,0.043914,0.045987,0.047915,0.049357,0.050415,0.051201,0.051265,0.051213,0.050456,0.049397,0.047909,0.046103,0.043884,0.041450,0.038704,0.036010,0.033060,0.030265,0.027325,0.024526,0.021670,0.019086,0.016784,0.014409,0.012357,0.010493,0.009029,0.007528,0.006181,0.005073,0.004148,0.003443,0.002760,0.002119,0.001670,0.001292,0.001114,0.000904
0.000766,0.000944,0.001245,0.001786,0.002105,0.002759,0.003413,0.004190,0.005144,0.006297,0.007768,0.009390,0.011187,0.013232,0.015451,0.018204,0.020981,0.023919,0.027299,0.030638,0.034178,0.037834,0.041490,0.045057,0.048437,0.051777,0.054935,0.057506,0.059854,0.061734,0.063105,0.063976,0.064323,0.063901,0.063041,0.061687,0.059957,0.057591,0.054807,0.051873,0.048583,0.045095,0.041511,0.037735,0.034212,0.030610,0.027272,0.024006,0.020977,0.018142,0.015478,0.013234,0.011255,0.009422,0.007654,0.006306,0.005129,0.004259,0.003452,0.002648,0.002147,0.001760,0.001375,0.001048
0.001002,0.001267,0.001583,0.002088,0.002675,0.003405,0.004205,0.005255,0.006361,0.007873,0.009484,0.011503,0.013860,0.016477,0.019173,0.022418,0.025984,0.029634,0.033726,0.037997,0.042369,0.046776,0.051328,0.055877,0.060154,0.064135,0.068057,0.071275,0.074292,0.076500,0.078349,0.079269,0.079609,0.079225,0.078219,0.076635,0.074342,0.071342,0.067995,0.064279,0.060220,0.055839,0.051336,0.046821,0.042385,0.037851,0.033739,0.029664,0.025983,0.022357,0.019271,0.016375,0.013844,0.011467,0.009598,0.007893,0.006441,0.005223,0.004213,0.003392,0.002591,0.002140,0.001624,0.001181
0.001098,0.001500,0.002030,0.002569,0.003277,0.004075,0.005102,0.006303,0.007846,0.009652,0.011675,0.014126,0.016981,0.020161,0.023747,0.027649,0.031877,0.036467,0.041455,0.046691,0.051961,0.057543,0.063185,0.068581,0.073932,0.078965,0.083520,0.087691,0.091220,0.094006,0.096094,0.097530,0.097848,0.097468,0.096149,0.094189,0.091205,0.087704,0.083658,0.079016,0.073855,0.068665,0.063108,0.057558,0.051964,0.046550,0.041473,0.036482,0.031836,0.027609,0.023701,0.020046,0.016984,0.014109,0.011807,0.009697,0.007972,0.006287,0.005025,0.004028,0.003171,0.002477,0.002055,0.001483
