i,xi,Lxi,fxi,Exi,
1,-1.000000000000000e+00,3.678794411714423e-01,3.678794411714423e-01,0.000000000000000e+00,
2,-9.797979797979798e-01,3.753871581581378e-01,3.753869269345544e-01,2.312235833898987e-07,
3,-9.595959595959596e-01,3.830479950219876e-01,3.830476214290482e-01,3.735929393958702e-07,
4,-9.393939393939394e-01,3.908650982189234e-01,3.908646512563072e-01,4.469626162773000e-07,
5,-9.191919191919192e-01,3.988416750015946e-01,3.988412068237137e-01,4.681778809106267e-07,
6,-8.989898989898990e-01,4.069809950366380e-01,4.069805436467683e-01,4.513898697073725e-07,
7,-8.787878787878788e-01,4.152863920266935e-01,4.152859836777806e-01,4.083489129879932e-07,
8,-8.585858585858586e-01,4.237612653385761e-01,4.237609166616761e-01,3.486769000091931e-07,
9,-8.383838383838384e-01,4.324090816390125e-01,4.324088015194718e-01,2.801195407768446e-07,
10,-8.181818181818182e-01,4.412333765393535e-01,4.412331677599840e-01,2.087793694847972e-07,
11,-7.979797979797980e-01,4.502377562506696e-01,4.502376169203467e-01,1.393303228946000e-07,
12,-7.777777777777778e-01,4.594258992506418e-01,4.594258240359266e-01,7.521471521616265e-08,
13,-7.575757575757576e-01,4.688015579636544e-01,4.688015391402353e-01,1.882341904986236e-08,
14,-7.373737373737374e-01,4.783685604555011e-01,4.783685887954514e-01,2.833995029424027e-08,
15,-7.171717171717172e-01,4.881308121441139e-01,4.881308776541761e-01,6.551006227341707e-08,
16,-6.969696969696970e-01,4.980922975277226e-01,4.980923900530609e-01,9.252533830962249e-08,
17,-6.767676767676768e-01,5.082570819318567e-01,5.082571916389563e-01,1.097070996388598e-07,
18,-6.565656565656566e-01,5.186293132765973e-01,5.186294310282473e-01,1.177516500137140e-07,
19,-6.363636363636364e-01,5.292132238654893e-01,5.292133415000503e-01,1.176345610130552e-07,
20,-6.161616161616162e-01,5.400131321975237e-01,5.400132427239652e-01,1.105264415212867e-07,
21,-5.959595959595960e-01,5.510334448035984e-01,5.510335425230855e-01,9.771948705479625e-08,
22,-5.757575757575758e-01,5.622786581088687e-01,5.622787386729876e-01,8.056411899469386e-08,
23,-5.555555555555556e-01,5.737533603223943e-01,5.737534207374328e-01,6.041503847312212e-08,
24,-5.353535353535354e-01,5.854622333554961e-01,5.854622719415307e-01,3.858603464209406e-08,
25,-5.151515151515152e-01,5.974100547702279e-01,5.974100710831303e-01,1.631290234675471e-08,
26,-4.949494949494949e-01,6.096016997593765e-01,6.096016944832164e-01,5.276160176131712e-09,
27,-4.747474747474747e-01,6.220421431593969e-01,6.220421179761098e-01,2.518328703595340e-08,
28,-4.545454545454545e-01,6.347364614976929e-01,6.347364189402819e-01,4.255741107152093e-08,
29,-4.343434343434343e-01,6.476898350756541e-01,6.476897783706126e-01,5.670504152127318e-08,
30,-4.141414141414141e-01,6.609075500888555e-01,6.609074829929388e-01,6.709591670006317e-08,
31,-3.939393939393939e-01,6.743950007858329e-01,6.743949274217548e-01,7.336407814736122e-08,
32,-3.737373737373737e-01,6.881576916668408e-01,6.881576163619457e-01,7.530489509792676e-08,
33,-3.535353535353535e-01,7.022012397240032e-01,7.022011668554530e-01,7.286855015095845e-08,
34,-3.333333333333333e-01,7.165313767242679e-01,7.165313105737893e-01,6.615047868366785e-08,
35,-3.131313131313131e-01,7.311539515365718e-01,7.311538961573359e-01,5.537923583349025e-08,
