i,xi,Lxi,fxi,Exi,
1,-1.000000000000000e+00,3.678794411714423e-01,3.678794411714423e-01,0.000000000000000e+00,
2,-9.797979797979798e-01,3.764154352998460e-01,3.753869269345544e-01,1.028508365291671e-03,
3,-9.595959595959596e-01,3.849780761449235e-01,3.830476214290482e-01,1.930454715875229e-03,
4,-9.393939393939394e-01,3.935761369583115e-01,3.908646512563072e-01,2.711485702004301e-03,
5,-9.191919191919192e-01,4.022183909916469e-01,3.988412068237137e-01,3.377184167933199e-03,
6,-8.989898989898990e-01,4.109136114965667e-01,4.069805436467683e-01,3.933067849798404e-03,
7,-8.787878787878788e-01,4.196705717247077e-01,4.152859836777806e-01,4.384588046927117e-03,
8,-8.585858585858586e-01,4.284980449277067e-01,4.237609166616761e-01,4.737128266030593e-03,
9,-8.383838383838384e-01,4.374048043572007e-01,4.324088015194718e-01,4.996002837728894e-03,
10,-8.181818181818182e-01,4.463996232648264e-01,4.412331677599840e-01,5.166455504842432e-03,
11,-7.979797979797980e-01,4.554912749022208e-01,4.502376169203467e-01,5.253657981874119e-03,
12,-7.777777777777778e-01,4.646885325210208e-01,4.594258240359266e-01,5.262708485094204e-03,
13,-7.575757575757576e-01,4.740001693728632e-01,4.688015391402353e-01,5.198630232627878e-03,
14,-7.373737373737374e-01,4.834349587093849e-01,4.783685887954514e-01,5.066369913933464e-03,
15,-7.171717171717172e-01,4.930016737822227e-01,4.881308776541761e-01,4.870796128046550e-03,
16,-6.969696969696970e-01,5.027090878430135e-01,4.980923900530609e-01,4.616697789952642e-03,
17,-6.767676767676768e-01,5.125659741433943e-01,5.082571916389563e-01,4.308782504437933e-03,
18,-6.565656565656566e-01,5.225811059350018e-01,5.186294310282473e-01,3.951674906754485e-03,
19,-6.363636363636364e-01,5.327632564694729e-01,5.292133415000503e-01,3.549914969422609e-03,
20,-6.161616161616162e-01,5.431211989984445e-01,5.400132427239652e-01,3.107956274479370e-03,
21,-5.959595959595960e-01,5.536637067735536e-01,5.510335425230855e-01,2.630164250468070e-03,
22,-5.757575757575758e-01,5.643995530464368e-01,5.622787386729876e-01,2.120814373449169e-03,
23,-5.555555555555556e-01,5.753375110687312e-01,5.737534207374328e-01,1.584090331298393e-03,
24,-5.353535353535354e-01,5.864863540920736e-01,5.854622719415307e-01,1.024082150542831e-03,
25,-5.151515151515152e-01,5.978548553681008e-01,5.974100710831303e-01,4.447842849705102e-04,
26,-4.949494949494949e-01,6.094517881484497e-01,6.096016944832164e-01,1.499063347666545e-04,
27,-4.747474747474747e-01,6.212859256847573e-01,6.220421179761098e-01,7.561922913525705e-04,
28,-4.545454545454545e-01,6.333660412286603e-01,6.347364189402819e-01,1.370377711621598e-03,
29,-4.343434343434343e-01,6.457009080317956e-01,6.476897783706126e-01,1.988870338816954e-03,
30,-4.141414141414141e-01,6.582992993458002e-01,6.609074829929388e-01,2.608183647138653e-03,
31,-3.939393939393939e-01,6.711699884223108e-01,6.743949274217548e-01,3.224938999444004e-03,
32,-3.737373737373737e-01,6.843217485129644e-01,6.881576163619457e-01,3.835867848981296e-03,
33,-3.535353535353535e-01,6.977633528693978e-01,7.022011668554530e-01,4.437813986055283e-03,
34,-3.333333333333333e-01,7.115035747432478e-01,7.165313105737893e-01,5.027735830541413e-03,
35,-3.131313131313131e-01,7.255511873861515e-01,7.311538961573359e-01,5.602708771184444e-03,
36,-2.929292929292929e-01,7.399149640497456e-01,7.460748916023818e-01,6.159927552636221e-03,
37,-2.727272727272727e-01,7.546036779856669e-01,7.613003866968738e-01,6.696708711206827e-03,
38,-2.525252525252525e-01,7.696261024455525e-01,7.768365955058757e-01,7.210493060323231e-03,
39,-2.323232323232323e-01,7.849910106810391e-01,7.926898589077489e-01,7.698848226709855e-03,
40,-2.121212121212121e-01,8.007071759437635e-01,8.088666471820897e-01,8.159471238326129e-03,
41,-1.919191919191919e-01,8.167833714853628e-01,8.253735626504801e-01,8.590191165117298e-03,
42,-1.717171717171717e-01,8.332283705574737e-01,8.422173423711300e-01,8.988971813656247e-03,
43,-1.515151515151515e-01,8.500509464117332e-01,8.594048608885093e-01,9.353914476776125e-03,
44,-1.313131313131313e-01,8.672598722997780e-01,8.769431330390940e-01,9.683260739315995e-03,
45,-1.111111111111111e-01,8.848639214732451e-01,8.948393168143698e-01,9.975395341124633e-03,
46,-9.090909090909091e-02,9.028718671837714e-01,9.131007162822623e-01,1.022884909849097e-02,
47,-7.070707070707071e-02,9.212924826829936e-01,9.317347845681871e-01,1.044230188519349e-02,
48,-5.050505050505051e-02,9.401345412225487e-01,9.507491268969341e-01,1.061458567438534e-02,
49,-3.030303030303030e-02,9.594068160540736e-01,9.701515036966301e-01,1.074468764255654e-02,
50,-1.010101010101010e-02,9.791180804292051e-01,9.899498337660452e-01,1.083175333684019e-02,
51,1.010101010101010e-02,9.992771075995800e-01,1.010152197506535e+00,1.087508990695538e-02,
52,3.030303030303030e-02,1.019892670816835e+00,1.030766840219941e+00,1.087416940310585e-02,
53,5.050505050505050e-02,1.040973543332608e+00,1.051802175473788e+00,1.082863214118038e-02,
54,7.070707070707071e-02,1.062528498398534e+00,1.073266788535163e+00,1.073829013662840e-02,
55,9.090909090909091e-02,1.084566309266252e+00,1.095169439874664e+00,1.060313060841222e-02,
56,1.111111111111111e-01,1.107095749187397e+00,1.117519068741864e+00,1.042331955446615e-02,
57,1.313131313131313e-01,1.130125591413608e+00,1.140324796813729e+00,1.019920540012157e-02,
58,1.515151515151515e-01,1.153664609196519e+00,1.163595931917506e+00,9.931322720987113e-03,
59,1.717171717171717e-01,1.177721575787770e+00,1.187341971829573e+00,9.620396041803415e-03,
60,1.919191919191919e-01,1.202305264438995e+00,1.211572608151818e+00,9.267343712822834e-03,
61,2.121212121212121e-01,1.227424448401833e+00,1.236297730267129e+00,8.873281865296234e-03,
62,2.323232323232323e-01,1.253087900927919e+00,1.261527429375601e+00,8.439528447681220e-03,
63,2.525252525252525e-01,1.279304395268892e+00,1.287272002613111e+00,7.967607344219146e-03,
64,2.727272727272727e-01,1.306082704676387e+00,1.313541957253949e+00,7.459252577561822e-03,
65,2.929292929292929e-01,1.333431602402043e+00,1.340348014999206e+00,6.916412597163161e-03,
66,3.131313131313131e-01,1.361359861697494e+00,1.367701116352680e+00,6.341254655186029e-03,
67,3.333333333333333e-01,1.389876255814379e+00,1.395612425086090e+00,5.736169271710238e-03,
68,3.535353535353535e-01,1.418989558004335e+00,1.424093332795399e+00,5.103774791064105e-03,
69,3.737373737373737e-01,1.448708541518997e+00,1.453155463550136e+00,4.446922031139177e-03,
70,3.939393939393939e-01,1.479041979610004e+00,1.482810678637589e+00,3.768699027585667e-03,
71,4.141414141414141e-01,1.509998645528991e+00,1.513071081403816e+00,3.072435874824879e-03,
72,4.343434343434343e-01,1.541587312527596e+00,1.543949022193451e+00,2.361709665854414e-03,
73,4.545454545454545e-01,1.573816753857456e+00,1.575457103390318e+00,1.640349532862258e-03,
74,4.747474747474747e-01,1.606695742770207e+00,1.607608184560914e+00,9.124417907070172e-04,
75,4.949494949494949e-01,1.640233052517487e+00,1.640415387702851e+00,1.823351853635286e-04,
76,5.151515151515152e-01,1.674437456350932e+00,1.673892102600408e+00,5.453537505240772e-04,
77,5.353535353535354e-01,1.709317727522179e+00,1.708051992289383e+00,1.265735232796062e-03,
78,5.555555555555556e-01,1.744882639282865e+00,1.742908998633458e+00,1.973640649407125e-03,
79,5.757575757575758e-01,1.781140964884627e+00,1.778477348014370e+00,2.663616870256886e-03,
80,5.959595959595960e-01,1.818101477579101e+00,1.814771557138203e+00,3.329920440898457e-03,
81,6.161616161616162e-01,1.855772950617926e+00,1.851806438960170e+00,3.966511657755330e-03,
82,6.363636363636364e-01,1.894164157252736e+00,1.889597108730308e+00,4.567048522428486e-03,
83,6.565656565656566e-01,1.933283870735170e+00,1.928158990162544e+00,5.124880572626258e-03,
84,6.767676767676768e-01,1.973140864316864e+00,1.967507821729665e+00,5.633042587199118e-03,
85,6.969696969696970e-01,2.013743911249456e+00,2.007659663086745e+00,6.084248162710207e-03,
86,7.171717171717172e-01,2.055101784784581e+00,2.048630901625661e+00,6.470883158919974e-03,
87,7.373737373737374e-01,2.097223258173877e+00,2.090438259163367e+00,6.784999010509784e-03,
88,7.575757575757576e-01,2.140117104668981e+00,2.133098798766666e+00,7.018305902314784e-03,
89,7.777777777777778e-01,2.183792097521529e+00,2.176629931716248e+00,7.162165805280588e-03,
90,7.979797979797980e-01,2.228257009983158e+00,2.221049424612857e+00,7.207585370301516e-03,
91,8.181818181818182e-01,2.273520615305506e+00,2.266375406628466e+00,7.145208677040106e-03,
92,8.383838383838384e-01,2.319591686740210e+00,2.312626376905441e+00,6.965309834768428e-03,
93,8.585858585858586e-01,2.366478997538905e+00,2.359821212106693e+00,6.657785432211356e-03,
94,8.787878787878788e-01,2.414191320953229e+00,2.407979174119919e+00,6.212146833310300e-03,
95,8.989898989898990e-01,2.462737430234819e+00,2.457119917919056e+00,5.617512315763022e-03,
96,9.191919191919192e-01,2.512126098635311e+00,2.507263499586180e+00,4.862599049131010e-03,
97,9.393939393939394e-01,2.562366099406343e+00,2.558430384497103e+00,3.935714909240377e-03,
98,9.595959595959596e-01,2.613466205799552e+00,2.610641455674016e+00,2.824750125535459e-03,
99,9.797979797979798e-01,2.665435191066573e+00,2.663918022308597e+00,1.517168757976091e-03,
100,1.000000000000000e+00,2.718281828459045e+00,2.718281828459045e+00,2.168404344971009e-19,
